Date,Open Price,Close Price,High Price,Low Price,Volume
07-Jul-2009,4202.44,4187.00,4242.07,4184.36,873974400
08-Jul-2009,4184.34,4140.23,4197.55,4130.56,1098707072
09-Jul-2009,4157.02,4158.66,4186.41,4140.89,945504640
10-Jul-2009,4146.46,4127.17,4160.48,4123.49,836830016
13-Jul-2009,4120.02,4202.13,4209.25,4096.08,858981952
14-Jul-2009,4216.70,4237.68,4256.37,4198.74,909857536
15-Jul-2009,4251.91,4346.46,4346.46,4251.91,962454016
16-Jul-2009,4346.41,4361.84,4385.15,4329.43,986995904
17-Jul-2009,4381.90,4388.75,4411.91,4369.52,1108134144
20-Jul-2009,4410.90,4443.62,4464.81,4396.75,1011473600
21-Jul-2009,4444.88,4481.17,4502.12,4437.81,1129193856
22-Jul-2009,4491.01,4493.73,4497.98,4449.19,963469440
23-Jul-2009,4501.96,4559.80,4566.77,4472.07,1143705600
24-Jul-2009,4556.14,4576.61,4603.21,4536.45,1170253952
27-Jul-2009,4599.89,4586.13,4615.12,4553.09,932936704
28-Jul-2009,4588.48,4528.84,4616.44,4520.26,1046310208
29-Jul-2009,4527.55,4547.53,4581.78,4512.10,935211968
30-Jul-2009,4567.95,4631.61,4646.86,4563.54,1195161984
31-Jul-2009,4628.93,4608.36,4645.50,4599.72,1174625024
03-Aug-2009,4607.50,4682.46,4710.23,4595.58,1244298496
04-Aug-2009,4680.55,4671.37,4680.55,4627.71,1004237248
05-Aug-2009,4666.75,4647.13,4696.64,4630.63,1560956800
06-Aug-2009,4666.60,4690.53,4729.58,4666.60,1429700480
07-Aug-2009,4684.55,4731.56,4743.62,4632.16,1648389504
10-Aug-2009,4728.20,4722.20,4728.20,4688.77,943750528
11-Aug-2009,4724.79,4671.34,4744.11,4657.78,1119822592
12-Aug-2009,4664.13,4716.76,4722.55,4631.70,1076369536
13-Aug-2009,4727.10,4755.46,4789.98,4720.31,1053365056
14-Aug-2009,4758.95,4713.97,4790.18,4699.50,925000000
17-Aug-2009,4704.11,4645.01,4704.11,4610.34,837775936
18-Aug-2009,4671.30,4685.78,4688.22,4648.26,763801600
19-Aug-2009,4664.87,4689.67,4698.50,4625.44,807057088
20-Aug-2009,4717.84,4756.58,4766.85,4717.84,985558848
21-Aug-2009,4750.52,4850.89,4858.53,4735.78,1376143488
24-Aug-2009,4873.80,4896.23,4911.41,4868.85,975369728
25-Aug-2009,4875.89,4916.80,4923.28,4858.94,1103882240
26-Aug-2009,4911.17,4890.58,4927.05,4872.35,972670720
27-Aug-2009,4882.91,4869.35,4906.20,4855.32,967227840
28-Aug-2009,4893.68,4908.90,4944.16,4891.30,1145421440
01-Sep-2009,4908.08,4819.70,4921.16,4819.70,1216483584
02-Sep-2009,4814.49,4817.55,4821.91,4776.50,1381805312
03-Sep-2009,4821.19,4796.75,4841.51,4788.89,1010526912
04-Sep-2009,4811.45,4851.70,4873.78,4811.45,988133760
07-Sep-2009,4866.96,4933.18,4941.70,4866.96,813829120
08-Sep-2009,4944.56,4947.34,4971.99,4926.05,1160845312
09-Sep-2009,4936.51,5004.30,5004.30,4928.39,950859712
